"HSSD400","HSSD80","HSSD80_proximity","HSSD80_reject","SCANNET200","SCANNET200_proximity","SCANNET200_reject","NYU40","NYU40_proximity","NYU40_reject","MPCAT40","MPCAT40_proximity","MPCAT40_reject","COCO80","COCO80_proximity","COCO80_reject"
"classes (406): unknown | air_conditioner | air_duct | animal | appliance | aquarium | arcade_game | art_frame | art_stand | awning | baby_changing_station | bag | balcony | balcony_railing | bar | bar_cabinet | barbecue | barrel | basin | basket | bath_sink | bathrobe | bathroom_accessory | bathroom_shelf | bathroom_utensil | bathtub | beam | bed | bed_small | bed_table | bedframe | bell | bench | bicycle | bidet | bin | binder | blanket | blinds | board | boiler | book | book_rack | bottle | bottles_of_wine | bowl | box | box_of_fruit | box_of_tissue | breadbin | bridge | broom | brush | bucket | bush | bust | button | cabinet | cake_stand | calendar | camera | can | candle | car | carpet | carpet_roll | cart | case | casket | cat | ceiling_fan | chair_stand | chaise | chandelier | chest | chimney | christmas_tree | clock | cloth | clothes | clothes_hanger | clothes_hanger_rod | clothes_rack | clothing | coat_hanger | coffee_machine | coffee_maker | computer | computer_desk | computer_equipment | container | cooker | cooker_unit | cosmetic | couch | counter | cover | credenza | crib | cup | curtain | curtain_rail | curtain_rod | dartboard | decor | decoration | decorative_bowl | decorative_plate | decorative_quilt | desk | desk_and_chairs | desk_clutter | dinner_table | dinnerware | dishwasher | display_cabinet | display_table | dj_table | dog | dog_bed | door | doormat | drawer | drawer_desk | dresser | dressing_table | drinkware | drum | dumbbell | electric_outlet | exercise_equipment | fan | fence | fencing | file_cabinet | fire_dish | fire_extinguisher | fire_pit | fireplace | fireplace_utensil | fireplace_wall | firewood_holder | floor | floor__outside | floor_mat | flower | flower_stand | flowerbed | flowerpot | food | food_tray | fountain | frame | freezer | fridge | fruit | fruit_bowl | furnace | garage_door | garden_bower | gate | gift | globe | grill | guitar | gym_equipment | hammock | hand_wash | handle | hanger | hanging_clothes | hat | heater | hedge | hose | ironing_board | jacuzzi | jar | jewelry_box | jug | kettle | kitchen_appliance | kitchen_counter | kitchen_island | kitchen_lower_cabinet | kitchen_shelf | kitchen_utensil | kitchen_wall | knife | knife_holder | knob | ladder | lamp | lamp_stand | lamp_table | laptop | lattice | laundry_basket | led_tv | light | light_switch | liquid_soap | locker | machine | magazine | mailbox | media_console | microwave | mirror | mixer | monitor | mortar | motorcycle | musical_instrument | newspaper | newspaper_basket | nightstand | object | object__outside | office_utensil | oil_lamp | oven | oven_vent | painting | painting_frame | pan | panel | panel_screen | paper_towel_dispenser | partition | perfume | person | phone | photo | photo_mount | piano | picture | picture_frame | pillar | pillow | ping_pong_table | pipe | pitcher | plant | plant_art | plate | platform | platter | playground | playground_element | plush_toy | pool | pool_table | post | pot | printer | projector | projector_screen | rack | radiator | radio | rail | railing | range_hood | record_player | rock | rocking_horse | rod | rolling_cart | roof | safe | sauna_heater | scale | screen | sculpture | seat | security_camera | semi_chair | set_of_armchairs | sewing_machine | shack | shampoo | shelf | shelf_cabinet | shirt | shoe | shoes | shovel | shower | shower_door | shower_glass | shower_hose | shower_mat | shower_soap_shelf | shower_tap | shower_wall | showerhead | sink | sink_basin | sink_cabinet | sitting_area | skateboard | skirting_board | slide | sliding_door | smoke_alarm | soap | soap_bottle | soap_dish | soap_dispenser | soap_dispenser_shelf_in_shower | soapbox | socket | sofa_set | speaker | spice_rack | stack_of_papers | stair_step | staircase | stairs | stand | statue | step | stone | stool | storage | storage_box | storage_cabinet | storage_space | stove | stovetop | stuffed_animal | sunbed | swimming_pool | swing | switch | table | tablecloth | tablet | tap | teapot | telescope | tent | thermostat | throw_blanket | tile | tissue | tissue_box | toaster | toilet | toilet_bin | toilet_brush | toilet_brush_holder | toilet_cleaner | toilet_paper | toilet_sink | toilet_stall | toiletry | tool | towel | towel_basket | towel_holder | towel_rack | towel_ring | toy | tray | treadmill | tree | tripod | tv | tv_stand | umbrella | urinal | utensil | vacuum_cleaner | vanity | vase | vent | ventilation_hood | wall | wall__outside | wall_board | wall_cubby | wall_desk | wall_panel | wardrobe | wash_cabinet | washbasin | washer_dryer | washing_machine_and_dryer | water_dispenser | watering_can | weight | wheelbarrow | window | window_frame | window_shade | window_shutter | wine_cabinet | wine_rack | wood | wooden_house | workout_bike | workstation | wreath | yard","classes (85): alarm_clock | animal | bathtub | bed | bench | bicycle | blender | book | bottle | bowl | breadbin | cabinet | camera | candle | car | carpet | ceiling_lamp | chair | chest_of_drawers | clothing | coffee_maker | colander | couch | counter | curtain | cushion | dishwasher | door | drinkware | earphone | exercise_bike | eyeglasses | filing_cabinet | fireplace | floor_lamp | flower | fridge | grandfather_clock | kettle | kitchen_scale | laptop | mantel_clock | microwave | mirror | mixing_bowl | mobile_phone | motorcycle | oven | pan | pathway_light | person | phone | picture | picture_frame | plate | plush_toy | pot | potted_plant | printer | range_hood | shelves | shoes | shower | sink | soap_dispenser | spicemill | stand | stool | table | table_lamp | teapot | toaster | toilet | toiletry | trashcan | tray | treadmill | tree | tv | vase | wall_clock | wall_lamp | wardrobe | washer_dryer | window","","","classes (200): alarm clock | armchair | backpack | bag | ball | bar | basket | bathroom cabinet | bathroom counter | bathroom stall | bathroom stall door | bathroom vanity | bathtub | bed | bench | bicycle | bin | blackboard | blanket | blinds | board | book | bookshelf | bottle | bowl | box | broom | bucket | bulletin board | cabinet | calendar | candle | cart | case of water bottles | cd case | ceiling | ceiling light | chair | clock | closet | closet door | closet rod | closet wall | clothes | clothes dryer | coat rack | coffee kettle | coffee maker | coffee table | column | computer tower | container | copier | couch | counter | crate | cup | curtain | cushion | decoration | desk | dining table | dish rack | dishwasher | divider | door | doorframe | dresser | dumbbell | dustpan | end table | fan | file cabinet | fire alarm | fire extinguisher | fireplace | floor | folded chair | furniture | guitar | guitar case | hair dryer | handicap bar | hat | headphones | ironing board | jacket | keyboard | keyboard piano | kitchen cabinet | kitchen counter | ladder | lamp | laptop | laundry basket | laundry detergent | laundry hamper | ledge | light | light switch | luggage | machine | mailbox | mat | mattress | microwave | mini fridge | mirror | monitor | mouse | music stand | nightstand | object | office chair | ottoman | oven | paper | paper bag | paper cutter | paper towel dispenser | paper towel roll | person | piano | picture | pillar | pillow | pipe | plant | plate | plunger | poster | potted plant | power outlet | power strip | printer | projector | projector screen | purse | rack | radiator | rail | range hood | recycling bin | refrigerator | scale | seat | shelf | shoe | shower | shower curtain | shower curtain rod | shower door | shower floor | shower head | shower wall | sign | sink | soap dish | soap dispenser | sofa chair | speaker | stair rail | stairs | stand | stool | storage bin | storage container | storage organizer | stove | structure | stuffed animal | suitcase | table | telephone | tissue box | toaster | toaster oven | toilet | toilet paper | toilet paper dispenser | toilet paper holder | toilet seat cover dispenser | towel | trash bin | trash can | tray | tube | tv | tv stand | vacuum cleaner | vent | wall | wardrobe | washing machine | water bottle | water cooler | water pitcher | whiteboard | window | windowsill","","","classes (39): bag | bathtub | bed | blinds | books | bookshelf | box | cabinet | ceiling | chair | clothes | counter | curtain | desk | door | dresser | floor | floor_mat | lamp | mirror | night_stand | otherfurniture | otherprop | otherstructure | paper | picture | pillow | refridgerator | shelves | shower_curtain | sink | sofa | table | television | toilet | towel | wall | whiteboardperson | window","","","classes (40): appliances | bathtub | beam | bed | blinds | board_panel | cabinet | ceiling | chair | chest_of_drawers | clothes | column | counter | curtain | cushion | door | fireplace | floor | furniture | gym_equipment | lighting | mirror | misc | objects | picture | plant | railing | seating | shelving | shower | sink | sofa | stairs | stool | table | toilet | towel | tv_monitor | wall | window","","","classes (80): person | bicycle | car | motorcycle | airplane | bus | train | truck | boat | traffic light | fire hydrant | stop sign | parking meter | bench | bird | cat | dog | horse | sheep | cow | elephant | bear | zebra | giraffe | backpack | umbrella | handbag | tie | suitcase | frisbee | skis | snowboard | sports ball | kite | baseball bat | baseball glove | skateboard | surfboard | tennis racket | bottle | wine glass | cup | fork | knife | spoon | bowl | banana | apple | sandwich | orange | broccoli | carrot | hot dog | pizza | donut | cake | chair | couch | potted plant | bed | dining table | toilet | tv | laptop | mouse | remote | keyboard | cell phone | microwave | oven | toaster | sink | refrigerator | book | clock | vase | scissors | teddy bear | hair drier | toothbrush","",""
"","","","","","","","","","","","","","","",""
"unknown","person","0.9506","False","person","0.9506","False","picture","0.9457","False","misc","0.9482","False","person","0.9506","False"
"air_conditioner","camera","0.9021","True","radiator","0.9068","True","television","0.8916","True","appliances","0.9115","False","refrigerator","0.8904","True"
"air_duct","camera","0.8748","True","vent","0.9237","False","otherstructure","0.8873","False","beam","0.8829","True","book","0.8682","True"
"animal","animal","1.0","False","person","0.9281","False","picture","0.9222","True","objects","0.9231","True","dog","0.9454","False"
"appliance","oven","0.9191","True","machine","0.937","False","picture","0.9043","True","appliances","0.9798","False","oven","0.9191","True"
"aquarium","animal","0.8383","True","structure","0.8551","True","window","0.838","True","furniture","0.8437","True","boat","0.8602","True"
"arcade_game","tv","0.8359","True","machine","0.8519","True","television","0.8361","True","gym_equipment","0.8366","True","tv","0.8359","True"
"art_frame","picture_frame","0.9642","False","picture","0.8846","False","picture","0.8846","False","picture","0.8846","False","tv","0.8782","True"
