Object Hash,"Articulated Object:
does the object have links/joint/slides which should move relative to the base?

E.g. a fridge, chest of drawers, or cabinet","Is Pickable:
is the object small enough to be picked up and carried around in one hand?
Furniture is not pickable (chairs, stools, etc...)","Semantic Category:
CONDENSED

This is an effort to condense the semantic categories by a couple hundred","Semantic Category:
The primary semantic category for the object

All empty fields should be filled and incorrect semantic classes corrected.",,
0001fb06b075a743e6289236cf049df3ad5dfa9c,No,Yes,showerhead,showerhead,,
000bbe302b53fd2904e7ae92e1516a18f29de02d,No,Yes,cup,cup,,
0022fa6ee5a44330e765488919803155b1a9e88c,No,No,bin,trash_bin,,
0024ddad62413ac3089b4efe58b90b01c41123e8,Yes,No,cabinet,cabinet,,
00258bed0c6e87a14e33c3eebffc48c898135698,No,Yes,clock,alarm_clock,,
002f87c8e4e2b870387e095797a2f40b30e7baec,No,Yes,pillow,pillow,,
0030aabddff541fbd378e38ae2d8597aecbfc757,No,No,table,table,,
0034b3becda06d5dbecdf52f1842e5069e126af2,No,No,lamp,lamp,,
00366b86401aa16b702c21de49fd59b75ab9c57b,No,No,bench,bench,,
00386b5179df69aec660a71fb9c65b344857d016,No,No,vase,vase,,
003949689122adfc2370d64c0615edc1b257db83,No,No,carpet,carpet,,
0039699ff96422d70b73397371664863025d75e8,No,No,painting,painting,,
0040287f3af79d7b02985600e23469d319007792,No,No,floor_mat,floor_mat,,
0042224f50400c921142bc9777c28823dfc728ab,No,No,picture,picture,,
004315b97305e4c6986491dfc1057ae72b91537e,No,No,table,table,,
00474f62f75a5047b51a4e6f7072a51d0d00afef,No,No,table,table,,
0048aa55e40dab26ce2b71e75489a72aae764419,No,Yes,plate,plate,,
004db3bd065eb72d8303f33c5bad163326cf1bd9,No,No,decoration,decoration,,
004e36a469b1e97720f54b114d251782cd41bfaa,No,Yes,candle,candle_holder,,
005b673d5ded782d54be17969159917dfc9ae0f2,No,No,seat,office_chair,,
00662bccdee49ca148d0c96929286db6d6d3c267,No,No,bed,bed,,
006ea4bce9bbe0c73d6d47776b25e76265235722,No,No,table,table,,
006eea1eca393d904a660ddf703ba24a541b9d46,No,Yes,jar,jar,,
0070649630e7b2262ec0427c0e2035232240fb4d,No,No,seat,office_chair,,
0071f864b2cc52a7ecd4603f5f92bcdcdc93a2d1,No,Yes,tool,tool,,
0074b6bf5758fd7186157fd3a8d53afe3e200cba,Yes,No,cabinet,cabinet,,
00759595cbb0f07062154e6a0b07de033871c0e1,No,No,counter,counter,,
00770bbb6345e851e425d78c333c4baababf3729,No,No,decoration,decoration,,
007ac3dc7a89e1e403c1340a4fd61fdc75ca053d,No,No,pillow,pillow,,
0081c522ffe7910c701191c44b0f797a69a8548a,No,No,bed,bed,,
0082238889bd1b4ab20d0f9e3a444f5b61664e3a,No,No,bidet,bidet,,
00826491ee9361be3f199d05588c5dfae493f0cd,No,No,balcony,balcony,,
008cc6178827f98658c83a3b33124a0ca7ad3c26,No,No,bed,bed,,
0091ed73925f43dda0dd03d8a71b88ccfa65fbb1,No,No,picture,picture,,
0092599e2477209980084af7df385284843a3ff3,No,No,lamp,wall_lamp,,
0097dd7add1d9d8fdc58a446796dcde8c6f80238,No,No,fan,fan,,
009de394cd2d691583965e0235ff47ea2d8ebf5f,No,No,bed,bed,,
009f96f4bd369a2294a1b29538c52b14ec792a54,No,No,mirror,mirror,,
009f9df21592e289bc08c4562f21dce15fced6fb,No,No,laundry_basket,laundry_basket,,
009fc9a64b1408e3e14591fd54ac06bfce96478b,No,Yes,bowl,bowl,,
00a1a59b75fae9b7e42a128ce2249158dfa7d847,No,No,vase,flower_vase,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6,Yes,No,book_rack,book_rack,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6_part_1,No,No,book,book,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6_part_16,No,Yes,book,book,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6_part_19,No,No,cabinet,cabinet,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6_part_2,No,No,book,book,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6_part_20,No,Yes,book,book,,
00a2b0f3886ccb5ffddac704f8eeec324a5e14c6_part_4,No,No,book,book,,
00a3d5c105208365240029f50413fe059423b6e6,No,No,tap,tap,,
00a843989a32df31a10bc8129fa6801d768855c5,No,No,painting,painting,,
00a896b002a685b0366798b1d3a96a20e96cf560,No,No,christmas_tree,christmas_tree,,
00aa8e497d988558e9989d410b1409fc7751f216,No,No,lamp,lamp,,
00ab1b2fd45dcfbfdffe36f00fe21a9dddd9f06b,No,No,mirror,mirror,,
00b0d5e167ae6b42666de010025efad4506563f1,Yes,No,kitchen_appliance,oven_and_stove,,
00b285ed70673826ccb6941929a64abfaf5f9239,No,No,washer/dryer,washing_machine,,
00b3040d6d75d68ba6d1bdf96e31c6b8432cbc1f,No,Yes,laptop,laptop,,
00b543e5c1ec525f02523484c372d31fbcc696ea,No,No,pillow,pillow,,
00b94ee7f2a013ffb7b681d19a5769b63c1b8357,No,No,umbrella,umbrella,,
00ba4b1c24ae030dc052d6d196d0461db86710aa,No,No,couch,couch,,
00bcbedb6c1552d671d69e1cf51def0fdffebe49,No,No,picture_frame,picture_frame,,
00bde034d3d5b08ef952aeba2bd40839d3b8c5e0,No,No,showerhead,showerhead,,
00c36e162937f13271f982b5dcafb4d3038e906a,No,Yes,bottle,bottle,,
00c48f069128b3951154aa6e1416de43ae7a602f,No,No,flowerpot,flowerpot,,
00c4e7e0dcc05d011794e3e44195ed8129d75caf,No,No,carpet,carpet,,
00cc6db7de011b5ec985351af8c94e2f316a531f,No,No,shelf,shelf,,
00cf8cb62499e385e088fe79f34170dadcce128d,No,No,person,person,,
00d174d0fee4a8c71035f39fc1a05be45d64ef95,No,Yes,picture,picture,,
00df07adecbdf73eee36efaf3cbc2ba45bda660e,No,No,seat,sofa_chair,,
00e3402610a1f547e1cf80d348629cd7bb6fe1e8,No,No,swing,swing,,
00e388a751b3654216f2109ee073dc44f1241eee,Yes,No,cabinet,cabinet,,
00e4e059a54461f2a2789abe85d78e5407d4f8e9,Yes,No,cabinet,cabinet,,
00e51823fa6c217c7c3ec4a1c107144ab2e84fc8,No,Yes,knife,knife,,
00e5f39d653640c848cee270dbf11c7110e3f582,No,Yes,towel,towel,,
00e70f08eeeac664c4322cc4de87bfe09aef0201,Yes,No,cabinet,bathroom_cabinet,,
00e879c11f8273cf5f82e7efd65e4aad5c4c076e,No,No,seat,pouffe,,
00ea83bf1b2544df87f6d52d02382c0bb75598c6,No,No,book_rack,book_rack,,
00ea83bf1b2544df87f6d52d02382c0bb75598c6_part_1,No,Yes,book,book,,
00ea83bf1b2544df87f6d52d02382c0bb75598c6_part_13,No,No,book,book,,
00ea83bf1b2544df87f6d52d02382c0bb75598c6_part_15,No,No,book,book,,
