objectType,#items,#scenes,pickupable,moveable,toggleable,openable
AlarmClock,87,77,True,False,False,False
AluminumFoil,3,1,True,False,False,False
Apple,78,78,True,False,False,False
ArmChair,98,71,False,True,False,False
BaseballBat,86,64,True,False,False,False
BasketBall,65,50,True,False,False,False
Bathtub,21,21,False,False,False,False
BathtubBasin,19,19,False,False,False,False
Bed,178,103,False,True,False,False
Blinds,49,33,False,False,False,True
Book,252,113,True,False,False,True
Boots,13,13,True,False,False,False
Bottle,32,28,True,False,False,False
Bowl,199,126,True,False,False,False
Box,154,99,True,False,False,True
Bread,60,54,True,False,False,False
ButterKnife,80,62,True,False,False,False
CD,86,66,True,False,False,False
Cabinet,557,66,False,False,False,True
Candle,110,84,True,False,True,False
Cart,13,13,False,False,False,False
CellPhone,227,117,True,False,True,False
Chair,448,126,False,True,False,False
Cloth,50,44,True,False,False,False
ClothesDryer,4,4,False,True,False,False
CoffeeMachine,48,48,False,True,True,False
CoffeeTable,32,28,False,True,False,False
CounterTop,176,131,False,False,False,False
CreditCard,167,126,True,False,False,False
Cup,67,59,True,False,False,False
Curtains,19,14,False,False,False,False
Desk,51,47,False,True,False,False
DeskLamp,115,84,False,True,True,False
Desktop,3,3,False,True,True,False
DiningTable,236,120,False,False,False,False
DishSponge,95,80,True,False,False,False
DogBed,48,41,False,True,False,False
Doorframe,32,29,False,False,False,False
Doorway,337,100,False,False,False,True
Drawer,1428,170,False,False,False,True
Dresser,167,95,False,True,False,False
Dumbbell,7,6,True,False,False,False
Egg,131,84,True,False,False,False
Faucet,188,121,False,False,True,False
Floor,616,220,False,False,False,False
FloorLamp,94,78,False,True,True,False
Footstool,3,2,True,False,False,False
Fork,73,65,True,False,False,False
Fridge,103,103,False,False,False,True
GarbageBag,32,32,False,True,False,False
GarbageCan,275,196,False,True,False,False
HandTowel,30,30,True,False,False,False
HandTowelHolder,45,30,False,False,False,False
HousePlant,234,133,False,True,False,False
Kettle,34,32,True,False,False,True
KeyChain,144,111,True,False,False,False
Knife,63,54,True,False,False,False
Ladle,31,28,True,False,False,False
Laptop,172,129,True,False,True,True
LaundryHamper,22,21,False,True,False,True
Lettuce,80,65,True,False,False,False
LightSwitch,120,120,False,False,True,False
Microwave,35,35,False,True,True,True
Mirror,67,65,False,False,False,False
Mug,132,104,True,False,False,False
Newspaper,46,43,True,False,False,False
Ottoman,6,6,False,True,False,False
Painting,902,143,False,False,False,False
Pan,49,49,True,False,False,False
PaperTowelRoll,54,48,True,False,False,False
Pen,151,97,True,False,False,False
Pencil,206,108,True,False,False,False
PepperShaker,64,64,True,False,False,False
Pillow,263,143,True,False,False,False
Plate,130,105,True,False,False,False
Plunger,113,89,True,False,False,False
Poster,10,6,False,False,False,False
Pot,67,67,True,False,False,False
Potato,95,70,True,False,False,False
RemoteControl,217,101,True,False,False,False
RoomDecor,10,3,False,True,False,False
Safe,20,19,False,True,False,True
SaltShaker,68,68,True,False,False,False
ScrubBrush,30,30,True,False,False,False
Shelf,733,117,False,False,False,False
ShelvingUnit,65,54,False,True,False,False
ShowerCurtain,13,13,False,False,False,True
ShowerDoor,17,17,False,False,False,True
ShowerGlass,13,13,False,False,False,False
ShowerHead,25,24,False,False,True,False
SideTable,145,96,False,True,False,False
Sink,169,121,False,False,False,False
SinkBasin,170,121,False,False,False,False
SoapBar,51,49,True,False,False,False
SoapBottle,134,119,True,False,False,False
Sofa,117,98,False,True,False,False
Spatula,69,55,True,False,False,False
Spoon,62,51,True,False,False,False
SprayBottle,144,103,True,False,False,False
Statue,179,100,True,False,False,False
Stool,56,43,False,True,False,False
StoveBurner,123,30,False,False,False,False
StoveKnob,123,30,False,False,True,False
TVStand,88,70,False,True,False,False
TableTopDecor,2,2,True,False,False,False
TeddyBear,34,32,True,False,False,False
Television,190,115,False,True,True,False
TennisRacket,31,30,True,False,False,False
TissueBox,78,56,True,False,False,False
Toaster,56,56,False,True,True,False
Toilet,128,93,False,False,False,True
ToiletPaper,149,89,True,False,False,False
ToiletPaperHanger,30,30,False,False,False,False
Tomato,87,72,True,False,False,False
Towel,30,30,True,False,False,False
TowelHolder,38,30,False,False,False,False
VacuumCleaner,2,2,False,True,False,False
Vase,196,102,True,False,False,False
Wall,3088,100,False,False,False,False
WashingMachine,5,5,False,True,False,False
Watch,103,68,True,False,False,False
WateringCan,13,13,True,False,False,False
Window,480,194,False,False,False,False
WineBottle,42,39,True,False,False,False
