objectType,#items,#scenes,pickupable,moveable,toggleable,openable
AlarmClock,30,30,True,False,False,False
ArmChair,9,6,False,True,False,False
BaseballBat,14,13,True,False,False,False
BasketBall,11,11,True,False,False,False
Bed,32,30,False,True,False,False
Blinds,41,27,False,False,False,True
Book,30,30,True,False,False,True
Boots,3,3,True,False,False,False
Bowl,13,13,True,False,False,False
Box,12,12,True,False,False,True
CD,33,30,True,False,False,False
Cabinet,15,5,False,False,False,True
CellPhone,30,30,True,False,True,False
Chair,29,22,False,True,False,False
Cloth,9,5,True,False,False,False
CoffeeTable,1,1,False,True,False,False
CounterTop,1,1,False,False,False,False
CreditCard,30,30,True,False,False,False
Curtains,3,2,False,False,False,False
Desk,28,24,False,True,False,False
DeskLamp,35,30,False,True,True,False
Desktop,2,2,False,True,True,False
DogBed,1,1,False,True,False,False
Drawer,201,29,False,False,False,True
Dresser,13,11,False,True,False,False
Dumbbell,5,4,True,False,False,False
Floor,30,30,False,False,False,False
Footstool,2,1,True,False,False,False
GarbageBag,3,3,False,True,False,False
GarbageCan,30,30,False,True,False,False
HousePlant,7,7,False,True,False,False
KeyChain,30,30,True,False,False,False
Laptop,30,30,True,False,True,True
LaundryHamper,8,8,False,True,False,True
LightSwitch,30,30,False,False,True,False
Mirror,30,30,False,False,False,False
Mug,16,16,True,False,False,False
Painting,21,13,False,False,False,False
Pen,30,30,True,False,False,False
Pencil,30,30,True,False,False,False
Pillow,42,30,True,False,False,False
Poster,10,6,False,False,False,False
RemoteControl,3,3,True,False,False,False
Safe,5,5,False,True,False,True
Shelf,116,23,False,False,False,False
ShelvingUnit,7,7,False,False,False,False
SideTable,30,23,False,True,False,False
Sofa,1,1,False,True,False,False
Statue,4,4,True,False,False,False
Stool,1,1,False,True,False,False
TableTopDecor,1,1,True,False,False,False
TeddyBear,10,10,True,False,False,False
Television,3,3,False,True,True,False
TennisRacket,10,10,True,False,False,False
TissueBox,4,4,True,False,False,False
VacuumCleaner,1,1,False,True,False,False
Vase,5,3,True,False,False,False
Watch,2,2,True,False,False,False
Window,45,30,False,False,False,False
