objectType,#items,#scenes,pickupable,moveable,toggleable,openable
Bathtub,21,21,False,False,False,False
BathtubBasin,19,19,False,False,False,False
Cabinet,64,15,False,False,False,True
Candle,30,30,True,False,True,False
Cloth,30,30,True,False,False,False
CounterTop,29,25,False,False,False,False
DishSponge,6,6,True,False,False,False
Drawer,68,15,False,False,False,True
Dresser,2,2,False,True,False,False
Faucet,61,30,False,False,True,False
Floor,30,30,False,False,False,False
Footstool,1,1,True,False,False,False
GarbageCan,30,30,False,True,False,False
HandTowel,30,30,True,False,False,False
HandTowelHolder,45,30,False,False,False,False
HousePlant,1,1,False,True,False,False
LightSwitch,30,30,False,False,True,False
Mirror,32,30,False,False,False,False
Painting,1,1,False,False,False,False
PaperTowelRoll,4,4,True,False,False,False
Plunger,30,30,True,False,False,False
ScrubBrush,30,30,True,False,False,False
Shelf,14,7,False,False,False,False
ShowerCurtain,13,13,False,False,False,True
ShowerDoor,17,17,False,False,False,True
ShowerGlass,13,13,False,False,False,False
ShowerHead,25,24,False,False,True,False
SideTable,7,5,False,True,False,False
Sink,44,30,False,False,False,False
SinkBasin,45,30,False,False,False,False
SoapBar,30,30,True,False,False,False
SoapBottle,30,30,True,False,False,False
SprayBottle,30,30,True,False,False,False
TissueBox,9,9,True,False,False,False
Toilet,30,30,False,False,False,True
ToiletPaper,60,30,True,False,False,False
ToiletPaperHanger,30,30,False,False,False,False
Towel,30,30,True,False,False,False
TowelHolder,38,30,False,False,False,False
Window,26,19,False,False,False,False
