objectType,#items,#scenes,pickupable,moveable,toggleable,openable
ArmChair,38,27,False,True,False,False
Blinds,3,1,False,False,False,True
Book,7,7,True,False,False,True
Boots,5,5,True,False,False,False
Bowl,5,5,True,False,False,False
Box,30,30,True,False,False,True
Cabinet,19,6,False,False,False,True
Candle,5,3,True,False,True,False
CellPhone,7,7,True,False,True,False
Chair,73,20,False,True,False,False
CoffeeTable,28,24,False,True,False,False
CreditCard,30,30,True,False,False,False
Curtains,14,10,False,False,False,False
Desk,2,2,False,True,False,False
DeskLamp,16,13,False,True,True,False
DiningTable,16,14,False,True,False,False
DogBed,2,2,False,True,False,False
Drawer,118,23,False,False,False,True
Dresser,11,10,False,True,False,False
Floor,30,30,False,False,False,False
FloorLamp,31,30,False,True,True,False
GarbageCan,30,30,False,True,False,False
HousePlant,32,30,False,True,False,False
KeyChain,30,30,True,False,False,False
Laptop,30,30,True,False,True,True
LightSwitch,30,30,False,False,True,False
Mirror,3,3,False,False,False,False
Newspaper,18,18,True,False,False,False
Ottoman,4,4,False,True,False,False
Painting,53,30,False,False,False,False
Pen,5,5,True,False,False,False
Pencil,4,4,True,False,False,False
Pillow,30,30,True,False,False,False
Plate,10,10,True,False,False,False
RemoteControl,30,30,True,False,False,False
RoomDecor,9,2,False,True,False,False
Safe,2,2,False,True,False,True
Shelf,104,16,False,False,False,False
ShelvingUnit,7,5,False,True,False,False
SideTable,54,27,False,True,False,False
Sofa,36,30,False,True,False,False
Statue,54,29,True,False,False,False
Stool,3,2,False,True,False,False
TVStand,14,12,False,True,False,False
Television,30,30,False,True,True,False
TissueBox,9,9,True,False,False,False
Vase,46,18,True,False,False,False
Watch,16,16,True,False,False,False
WateringCan,13,13,True,False,False,False
Window,75,28,False,False,False,False
