objectType,#items,#scenes,pickupable,moveable,toggleable,openable
AlarmClock,175,145,True,False,False,False
Apple,140,140,True,False,False,False
ArmChair,163,114,False,True,False,False
BaseballBat,205,150,True,False,False,False
BasketBall,156,123,True,False,False,False
Bed,419,225,False,True,False,False
Book,697,232,True,False,False,True
Boots,9,8,True,False,False,False
Bottle,79,70,True,False,False,False
Bowl,439,223,True,False,False,False
Box,323,175,True,False,False,True
Bread,97,76,True,False,False,False
ButterKnife,135,92,True,False,False,False
CD,166,103,True,False,False,False
Cabinet,165,56,False,False,False,True
Candle,242,148,True,False,True,False
Cart,48,47,False,False,False,False
CellPhone,527,218,True,False,True,False
Chair,934,207,False,True,False,False
Cloth,24,22,True,False,False,False
ClothesDryer,11,10,False,True,False,False
CoffeeMachine,44,44,False,True,True,False
CoffeeTable,8,8,False,True,False,False
CounterTop,217,217,False,False,False,False
CreditCard,324,189,True,False,False,False
Cup,98,78,True,False,False,False
Desk,67,62,False,False,False,False
DeskLamp,192,122,True,False,False,False
Desktop,2,2,False,True,True,False
DiningTable,569,250,False,False,False,False
DishSponge,175,132,True,False,False,False
DogBed,99,86,False,True,False,False
Doorframe,92,81,False,False,False,False
Doorway,948,300,False,False,False,True
Drawer,2604,239,False,False,False,True
Dresser,403,226,False,True,False,False
Dumbbell,3,3,True,False,False,False
Egg,322,163,True,False,False,False
Faucet,267,194,False,False,True,False
Floor,1427,300,False,False,False,False
FloorLamp,178,127,False,True,True,False
Fork,136,103,True,False,False,False
Fridge,207,207,False,False,False,True
GarbageBag,77,77,False,True,False,False
GarbageCan,430,233,False,True,False,False
HousePlant,539,253,False,True,False,False
Kettle,70,58,True,False,False,True
KeyChain,264,151,True,False,False,False
Knife,104,80,True,False,False,False
Ladle,62,56,True,False,False,False
Laptop,309,195,True,False,True,True
LaundryHamper,30,26,False,True,False,True
Lettuce,159,112,True,False,False,False
Microwave,23,23,False,True,True,True
Mug,257,176,True,False,False,False
Newspaper,102,92,True,False,False,False
Ottoman,6,5,False,True,False,False
Painting,1993,297,False,False,False,False
Pan,66,66,True,False,False,False
PaperTowelRoll,118,102,True,False,False,False
Pen,352,179,True,False,False,False
Pencil,478,210,True,False,False,False
PepperShaker,102,102,True,False,False,False
Pillow,538,246,True,False,False,False
Plate,253,184,True,False,False,False
Plunger,236,179,True,False,False,False
Pot,81,81,True,False,False,False
Potato,190,128,True,False,False,False
RemoteControl,520,205,True,False,False,False
RoomDecor,5,5,False,True,False,False
Safe,31,30,False,True,False,True
SaltShaker,113,113,True,False,False,False
Shelf,1331,194,False,False,False,False
ShelvingUnit,117,99,False,True,False,False
SideTable,149,111,False,True,False,False
Sink,267,194,False,False,False,False
SinkBasin,267,194,False,False,False,False
SoapBar,59,56,True,False,False,False
SoapBottle,211,170,True,False,False,False
Sofa,211,174,False,True,False,False
Spatula,108,71,True,False,False,False
Spoon,89,69,True,False,False,False
SprayBottle,300,196,True,False,False,False
Statue,367,185,True,False,False,False
Stool,104,80,False,True,False,False
TVStand,234,177,False,True,False,False
TableTopDecor,3,3,True,False,False,False
TeddyBear,83,77,True,False,False,False
Television,484,247,False,False,True,False
TennisRacket,60,57,True,False,False,False
TissueBox,172,110,True,False,False,False
Toaster,58,58,False,True,True,False
Toilet,272,198,False,False,False,True
ToiletPaper,235,176,True,False,False,False
Tomato,161,119,True,False,False,False
VacuumCleaner,3,3,False,True,False,False
Vase,372,213,True,False,False,False
Wall,8856,300,False,False,False,False
WashingMachine,12,12,False,True,False,False
Watch,260,150,True,False,False,False
Window,805,266,False,False,False,False
WineBottle,73,67,True,False,False,False
