objectType,#items,#scenes,pickupable,moveable,toggleable,openable
AlarmClock,57,47,True,False,False,False
Apple,48,48,True,False,False,False
ArmChair,51,38,False,True,False,False
BaseballBat,72,51,True,False,False,False
BasketBall,54,39,True,False,False,False
Bed,146,73,False,True,False,False
Book,213,74,True,False,False,True
Boots,5,5,True,False,False,False
Bottle,25,21,True,False,False,False
Bowl,151,78,True,False,False,False
Box,112,57,True,False,False,True
Bread,30,24,True,False,False,False
ButterKnife,50,32,True,False,False,False
CD,53,36,True,False,False,False
Cabinet,41,10,False,False,False,True
Candle,75,51,True,False,True,False
Cart,13,13,False,False,False,False
CellPhone,186,76,True,False,True,False
Chair,326,72,False,True,False,False
Cloth,11,9,True,False,False,False
ClothesDryer,4,4,False,True,False,False
CoffeeMachine,18,18,False,True,True,False
CoffeeTable,3,3,False,True,False,False
CounterTop,75,75,False,False,False,False
CreditCard,104,63,True,False,False,False
Cup,37,29,True,False,False,False
Desk,21,21,False,False,False,False
DeskLamp,64,41,True,False,False,False
Desktop,1,1,False,True,True,False
DiningTable,199,90,False,False,False,False
DishSponge,59,44,True,False,False,False
DogBed,45,38,False,True,False,False
Doorframe,32,29,False,False,False,False
Doorway,337,100,False,False,False,True
Drawer,867,75,False,False,False,True
Dresser,141,72,False,True,False,False
Dumbbell,2,2,True,False,False,False
Egg,101,54,True,False,False,False
Faucet,95,61,False,False,True,False
Floor,496,100,False,False,False,False
FloorLamp,63,48,False,True,True,False
Fork,43,35,True,False,False,False
Fridge,73,73,False,False,False,True
GarbageBag,26,26,False,True,False,False
GarbageCan,155,76,False,True,False,False
HousePlant,183,85,False,True,False,False
Kettle,19,17,True,False,False,True
KeyChain,84,51,True,False,False,False
Knife,33,24,True,False,False,False
Ladle,20,18,True,False,False,False
Laptop,112,69,True,False,True,True
LaundryHamper,14,13,False,True,False,True
Lettuce,50,35,True,False,False,False
Microwave,5,5,False,True,True,True
Mug,86,58,True,False,False,False
Newspaper,28,25,True,False,False,False
Ottoman,2,2,False,True,False,False
Painting,827,99,False,False,False,False
Pan,19,19,True,False,False,False
PaperTowelRoll,40,34,True,False,False,False
Pen,114,60,True,False,False,False
Pencil,170,72,True,False,False,False
PepperShaker,34,34,True,False,False,False
Pillow,191,83,True,False,False,False
Plate,90,65,True,False,False,False
Plunger,83,59,True,False,False,False
Pot,37,37,True,False,False,False
Potato,65,40,True,False,False,False
RemoteControl,184,68,True,False,False,False
RoomDecor,1,1,False,True,False,False
Safe,12,11,False,True,False,True
SaltShaker,38,38,True,False,False,False
Shelf,472,62,False,False,False,False
ShelvingUnit,46,37,False,True,False,False
SideTable,51,38,False,True,False,False
Sink,95,61,False,False,False,False
SinkBasin,95,61,False,False,False,False
SoapBar,21,19,True,False,False,False
SoapBottle,74,59,True,False,False,False
Sofa,80,67,False,True,False,False
Spatula,39,25,True,False,False,False
Spoon,32,21,True,False,False,False
SprayBottle,112,71,True,False,False,False
Statue,116,63,True,False,False,False
Stool,33,26,False,True,False,False
TVStand,74,58,False,True,False,False
TableTopDecor,1,1,True,False,False,False
TeddyBear,24,22,True,False,False,False
Television,157,82,False,False,True,False
TennisRacket,21,20,True,False,False,False
TissueBox,56,34,True,False,False,False
Toaster,26,26,False,True,True,False
Toilet,98,63,False,False,False,True
ToiletPaper,89,59,True,False,False,False
Tomato,57,42,True,False,False,False
VacuumCleaner,1,1,False,True,False,False
Vase,129,75,True,False,False,False
Wall,3088,100,False,False,False,False
WashingMachine,5,5,False,True,False,False
Watch,85,50,True,False,False,False
Window,298,91,False,False,False,False
WineBottle,32,29,True,False,False,False
